feature,mean_abs_shap
mfp_1619,0.0
mfp_1618,0.0
mfp_1617,0.0
mfp_1645,0.0
mfp_1646,0.0
mfp_1647,0.0
mfp_1648,0.0
mfp_1675,0.0
mfp_1674,0.0
mfp_1673,0.0
mfp_1672,0.0
mfp_1671,0.0
mfp_1670,0.0
mfp_1669,0.0
mfp_1668,0.0
mfp_1667,0.0
mfp_1666,0.0
mfp_1665,0.0
mfp_1664,0.0
mfp_1663,0.0
mfp_1662,0.0
mfp_1661,0.0
mfp_1660,0.0
mfp_1659,0.0
mfp_1658,0.0
mfp_1657,0.0
mfp_1656,0.0
mfp_1655,0.0
mfp_1654,0.0
mfp_1653,0.0
mfp_1652,0.0
mfp_1651,0.0
mfp_1650,0.0
mfp_1649,0.0
mfp_1616,0.0
mfp_1614,0.0
mfp_1801,0.0
mfp_1568,0.0
mfp_1581,0.0
mfp_1580,0.0
mfp_1579,0.0
mfp_1578,0.0
mfp_1577,0.0
mfp_1576,0.0
mfp_1056,0.0
mfp_1574,0.0
mfp_1573,0.0
mfp_1572,0.0
mfp_1571,0.0
mfp_1570,0.0
mfp_1569,0.0
mfp_1567,0.0
mfp_1613,0.0
mfp_1566,0.0
mfp_1565,0.0
mfp_1563,0.0
mfp_1562,0.0
mfp_1561,0.0
mfp_1560,0.0
mfp_1559,0.0
mfp_1558,0.0
mfp_1557,0.0
mfp_1556,0.0
mfp_1555,0.0
mfp_1553,0.0
mfp_1552,0.0
mfp_1582,0.0
mfp_1583,0.0
mfp_1584,0.0
mfp_1585,0.0
mfp_1612,0.0
mfp_1611,0.0
mfp_1610,0.0
mfp_1609,0.0
mfp_1608,0.0
mfp_1607,0.0
mfp_1606,0.0
mfp_1605,0.0
mfp_1604,0.0
mfp_1603,0.0
mfp_1602,0.0
mfp_1601,0.0
mfp_1600,0.0
mfp_1599,0.0
mfp_1598,0.0
mfp_1597,0.0
mfp_1596,0.0
mfp_1595,0.0
mfp_1594,0.0
mfp_1593,0.0
mfp_1592,0.0
mfp_1591,0.0
mfp_1590,0.0
mfp_1589,0.0
mfp_1588,0.0
mfp_1587,0.0
mfp_1586,0.0
mfp_1676,0.0
mfp_1677,0.0
mfp_1678,0.0
mfp_1756,0.0
mfp_1769,0.0
mfp_1768,0.0
mfp_1767,0.0
mfp_1766,0.0
mfp_1765,0.0
mfp_1764,0.0
mfp_1763,0.0
mfp_1762,0.0
mfp_1761,0.0
mfp_1760,0.0
mfp_1759,0.0
mfp_1758,0.0
mfp_1757,0.0
mfp_1755,0.0
mfp_1679,0.0
mfp_1754,0.0
mfp_1753,0.0
mfp_1752,0.0
mfp_1751,0.0
mfp_1750,0.0
mfp_1749,0.0
mfp_1748,0.0
mfp_1747,0.0
mfp_1746,0.0
mfp_1745,0.0
mfp_1744,0.0
mfp_1743,0.0
mfp_1742,0.0
mfp_1770,0.0
mfp_1771,0.0
mfp_1772,0.0
mfp_1773,0.0
mfp_1800,0.0
mfp_1799,0.0
mfp_1798,0.0
mfp_1797,0.0
mfp_1796,0.0
mfp_1795,0.0
mfp_1794,0.0
mfp_1793,0.0
mfp_1792,0.0
mfp_1791,0.0
mfp_1790,0.0
mfp_1789,0.0
mfp_1788,0.0
mfp_1787,0.0
mfp_1786,0.0
mfp_1785,0.0
mfp_1784,0.0
mfp_1783,0.0
mfp_1782,0.0
mfp_1781,0.0
mfp_1780,0.0
mfp_1779,0.0
mfp_1778,0.0
mfp_1777,0.0
mfp_1776,0.0
mfp_1775,0.0
mfp_1774,0.0
mfp_1741,0.0
mfp_1740,0.0
mfp_1739,0.0
mfp_1708,0.0
mfp_1706,0.0
mfp_1705,0.0
mfp_1704,0.0
mfp_1703,0.0
mfp_1702,0.0
mfp_1701,0.0
mfp_1700,0.0
mfp_1699,0.0
mfp_1698,0.0
mfp_1697,0.0
mfp_1696,0.0
mfp_1695,0.0
mfp_1694,0.0
mfp_1693,0.0
mfp_1692,0.0
mfp_1691,0.0
mfp_1690,0.0
mfp_1689,0.0
mfp_1688,0.0
mfp_1687,0.0
mfp_1686,0.0
mfp_1685,0.0
mfp_1684,0.0
mfp_1683,0.0
mfp_1682,0.0
mfp_1681,0.0
mfp_1680,0.0
mfp_1707,0.0
mfp_1709,0.0
mfp_1738,0.0
mfp_1710,0.0
mfp_1737,0.0
mfp_1736,0.0
mfp_1735,0.0
mfp_1734,0.0
mfp_1733,0.0
mfp_1732,0.0
mfp_1731,0.0
mfp_1730,0.0
mfp_1729,0.0
mfp_1728,0.0
mfp_1727,0.0
mfp_1726,0.0
mfp_1725,0.0
mfp_1724,0.0
mfp_1723,0.0
mfp_1722,0.0
mfp_1721,0.0
mfp_1720,0.0
mfp_1719,0.0
mfp_1718,0.0
mfp_1717,0.0
mfp_1716,0.0
mfp_1715,0.0
mfp_1714,0.0
mfp_1713,0.0
mfp_1712,0.0
mfp_1711,0.0
mfp_1575,0.0
mfp_0,0.0
mfp_1055,0.0
mfp_359,0.0
mfp_357,0.0
mfp_356,0.0
mfp_355,0.0
mfp_354,0.0
mfp_353,0.0
mfp_352,0.0
mfp_351,0.0
mfp_350,0.0
mfp_349,0.0
mfp_348,0.0
mfp_347,0.0
mfp_346,0.0
mfp_345,0.0
mfp_344,0.0
mfp_343,0.0
mfp_342,0.0
mfp_341,0.0
mfp_340,0.0
mfp_339,0.0
mfp_338,0.0
mfp_337,0.0
mfp_336,0.0
mfp_335,0.0
mfp_334,0.0
mfp_333,0.0
mfp_332,0.0
mfp_331,0.0
mfp_330,0.0
mfp_329,0.0
mfp_358,0.0
mfp_360,0.0
mfp_392,0.0
mfp_361,0.0
mfp_390,0.0
mfp_389,0.0
mfp_388,0.0
mfp_387,0.0
mfp_386,0.0
mfp_385,0.0
mfp_384,0.0
mfp_383,0.0
mfp_382,0.0
mfp_381,0.0
mfp_380,0.0
mfp_379,0.0
mfp_378,0.0
mfp_377,0.0
mfp_376,0.0
mfp_375,0.0
mfp_374,0.0
mfp_373,0.0
mfp_372,0.0
mfp_371,0.0
mfp_370,0.0
mfp_369,0.0
mfp_368,0.0
mfp_367,0.0
mfp_366,0.0
mfp_365,0.0
mfp_364,0.0
mfp_363,0.0
mfp_362,0.0
mfp_328,0.0
mfp_327,0.0
mfp_326,0.0
mfp_325,0.0
mfp_291,0.0
mfp_290,0.0
mfp_289,0.0
mfp_288,0.0
mfp_287,0.0
mfp_286,0.0
mfp_285,0.0
mfp_284,0.0
mfp_283,0.0
mfp_282,0.0
mfp_281,0.0
mfp_280,0.0
mfp_279,0.0
mfp_278,0.0
mfp_277,0.0
mfp_276,0.0
mfp_275,0.0
mfp_274,0.0
mfp_273,0.0
mfp_272,0.0
mfp_271,0.0
mfp_270,0.0
mfp_269,0.0
mfp_268,0.0
mfp_267,0.0
mfp_266,0.0
mfp_265,0.0
mfp_264,0.0
mfp_263,0.0
mfp_292,0.0
mfp_293,0.0
mfp_295,0.0
mfp_311,0.0
mfp_324,0.0
mfp_323,0.0
mfp_322,0.0
mfp_321,0.0
mfp_320,0.0
mfp_319,0.0
mfp_318,0.0
mfp_317,0.0
mfp_316,0.0
mfp_315,0.0
mfp_314,0.0
mfp_313,0.0
mfp_312,0.0
mfp_310,0.0
mfp_296,0.0
mfp_309,0.0
mfp_308,0.0
mfp_307,0.0
mfp_306,0.0
mfp_305,0.0
mfp_304,0.0
mfp_303,0.0
mfp_302,0.0
mfp_301,0.0
mfp_300,0.0
mfp_299,0.0
mfp_298,0.0
mfp_297,0.0
mfp_391,0.0
mfp_393,0.0
mfp_523,0.0
mfp_490,0.0
mfp_488,0.0
mfp_487,0.0
mfp_486,0.0
mfp_485,0.0
mfp_484,0.0
mfp_483,0.0
mfp_482,0.0
mfp_481,0.0
mfp_480,0.0
mfp_479,0.0
mfp_478,0.0
mfp_477,0.0
mfp_476,0.0
mfp_475,0.0
mfp_474,0.0
mfp_473,0.0
mfp_472,0.0
mfp_471,0.0
mfp_470,0.0
mfp_469,0.0
mfp_468,0.0
mfp_467,0.0
mfp_466,0.0
mfp_465,0.0
mfp_464,0.0
mfp_463,0.0
mfp_462,0.0
mfp_461,0.0
mfp_460,0.0
mfp_489,0.0
mfp_491,0.0
mfp_394,0.0
mfp_492,0.0
mfp_521,0.0
mfp_520,0.0
mfp_519,0.0
mfp_518,0.0
mfp_517,0.0
mfp_516,0.0
mfp_515,0.0
mfp_514,0.0
mfp_513,0.0
mfp_512,0.0
mfp_511,0.0
mfp_510,0.0
mfp_509,0.0
mfp_508,0.0
mfp_507,0.0
mfp_506,0.0
mfp_505,0.0
mfp_504,0.0
mfp_503,0.0
mfp_502,0.0
mfp_501,0.0
mfp_500,0.0
mfp_499,0.0
mfp_498,0.0
mfp_497,0.0
mfp_496,0.0
mfp_495,0.0
mfp_494,0.0
mfp_493,0.0
mfp_459,0.0
mfp_458,0.0
mfp_457,0.0
mfp_456,0.0
mfp_423,0.0
mfp_422,0.0
mfp_421,0.0
mfp_420,0.0
mfp_419,0.0
mfp_418,0.0
mfp_417,0.0
mfp_416,0.0
mfp_415,0.0
mfp_414,0.0
mfp_413,0.0
mfp_412,0.0
mfp_411,0.0
mfp_410,0.0
