compound_id,canonical_smiles,source_dataset,scaffold_smiles,p_repellent,p_non_repellent,ensemble_std,prediction_interval_lower,prediction_interval_upper,prediction_interval,ood_score,rank,high_ood,high_uncertainty
LIC_01967,COC(=O)c1sc2ccccc2c1NC(=O)c1ccc(N2C(=O)CCC2=O)cc1,insecticide,CC(CC1CCC2CCCCC21)C1CCC(C2C(C)CCC2C)CC1,0.99999999,1.0000000050247593e-08,0.00042529692,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5696497596781457,85,False,False
LIC_01968,Cc1ccc(CCC(=O)Nc2ccc(Cl)c([N+](=O)[O-])c2)o1,insecticide,CC(CCC1CCCC1)CC1CCCCC1,0.99999999,1.0000000050247593e-08,0.00032866703,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6743583343146142,86,False,True
LIC_01969,Cc1cccc(C(=O)NNC2CC(=O)N(c3ccc(Cl)cc3)C2=O)c1,insecticide,CC(CCC1CC(C)C(C2CCCCC2)C1C)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00097546895,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.35491642013893976,87,False,False
LIC_01970,O=C(Nc1cccc(-c2ccc(N3CCOCC3)nn2)c1)c1ccc([N+](=O)[O-])cc1Cl,insecticide,CC(CC1CCCC(C2CCC(C3CCCCC3)CC2)C1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0005766216,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.7085602354384041,88,False,False
LIC_01905,O=C(CN1C(=O)CCC1=O)Nc1ccc(-c2nc3ccccc3s2)c(O)c1,insecticide,CC(CC1CCC(C2CC3CCCCC3C2)CC1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.0006226483,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5260403361210207,89,False,True
LIC_01903,CCNc1nc(NCC)nc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])n1,insecticide,C1CCC(CC2CCCCC2)CC1,0.99999999,1.0000000050247593e-08,0.00029116188,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.668017644823722,90,False,False
LIC_01441,Cc1ccc(NC2CC(=O)N(c3ccc(N4CCCCC4)cc3)C2=O)cc1,insecticide,CC1CC(CC2CCCCC2)C(C)C1C1CCC(C2CCCCC2)CC1,0.99999999,1.0000000050247593e-08,0.00026231297,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5290491143493616,91,False,True
LIC_01858,CC(=O)OCC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,insecticide,C1CCC2C(C1)CCC1C3CCCC3CCC21,0.99999999,1.0000000050247593e-08,0.0008495959,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6380177626975421,92,False,False
LIC_01837,CS(=O)(=O)N1CCCc2cc(NC(=O)c3ccc([N+](=O)[O-])cc3Cl)ccc21,insecticide,CC(CC1CCC2CCCCC2C1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.0002170335,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6215289680624814,93,False,False
LIC_01838,CCN(CC)CCN(C(=O)CN1C(=O)CCC1=O)c1nc2c(Cl)cccc2s1,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00030171307,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5024304394454406,94,False,False
LIC_01839,COc1ccc(S(=O)(=O)Nc2cc(Cl)c(O)c(Cl)c2)cc1,insecticide,CC(C)(CC1CCCCC1)C1CCCCC1,0.99999999,1.0000000050247593e-08,0.00050932507,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4444550876194433,95,False,False
LIC_01840,CCOCCn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(F)ccc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00033079178,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6410101256931852,96,False,False
LIC_01841,COC(=O)Cn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(C)ccc21,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.00072047574,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.5223835270130978,97,False,False
LIC_01842,CC1CN(CC(O)Cn2c3ccccc3c3ccccc32)CC(C)O1,insecticide,C1CCC(CCCC2C3CCCCC3C3CCCCC32)CC1,0.99999999,1.0000000050247593e-08,0.0011224545,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.49333140655063623,98,False,False
LIC_01843,CCOc1cccc2sc(N(CCCN(C)C)C(=O)CN3C(=O)CCC3=O)nc12,insecticide,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,0.99999999,1.0000000050247593e-08,0.0006812642,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.6003731104038155,99,False,False
LIC_01844,NC(=S)N/N=C/c1ccc(O)cc1,insecticide,C1CCCCC1,0.99999999,1.0000000050247593e-08,0.006641875,0.43396225415094336,1.0,"[0.4340, 1.0000]",0.4159218556760732,100,False,False
