Compound_ID,SMILES,InChIKey,Molecular_Formula,MW_Da,p_repellent,OOD_Score,Target_Species,PubChem_CID
REP_00279,OCCc1ccc(Cl)cc1,HZFRKZWBVUJYDA-UHFFFAOYSA-N,C8H9ClO,156.0342,0.45714285714285713,0.2010431511344242,Aedes aegypti,74647
REP_00280,OCCc1ccccc1Br,ADLOWZRDUHSVRU-UHFFFAOYSA-N,C8H9BrO,199.9837,0.45714285714285713,0.29960165044598,Aedes aegypti,2734089
REP_00281,OCCc1ccccc1Cl,IWNHTCBFRSCBQK-UHFFFAOYSA-N,C8H9ClO,156.0342,0.45714285714285713,0.28317263440031637,Aedes aegypti,88266
REP_00282,OCc1ccccc1I,WZCXOBMFBKSSFA-UHFFFAOYSA-N,C7H7IO,233.9542,0.6333333333333333,0.5383036003691436,Aedes aegypti,107629
REP_00283,c1ccc(COCc2ccccc2)cc1,MHDVGSVTJDSBDK-UHFFFAOYSA-N,C14H14O,198.1045,0.7894736842105263,0.19861659050280575,Aedes aegypti,7657
REP_00284,c1ccc(Cc2ccccn2)cc1,PCFUWBOSXMKGIP-UHFFFAOYSA-N,C12H11N,169.0891,0.99999999,0.474766583324879,Aedes aegypti,7581
REP_00285,CC1c2ccccc2CCC1O,RINJSWVIDJTJRL-UHFFFAOYSA-N,C11H14O,162.1045,0.41509433962264153,0.45591992597664593,Aedes aegypti,250086
REP_00286,CC1(C)C2CCC3(C2)C1C(O)CCC3(C)C,VJCRIDPUJYUCNH-UHFFFAOYSA-N,C15H26O,222.1984,0.99999999,0.7693486636894512,Aedes aegypti,535389
REP_00287,CC(C)(C)C1CCC(=O)CC1,YKFKEYKJGVSEIX-UHFFFAOYSA-N,C10H18O,154.1358,0.8235294117647058,0.3245532419637883,Aedes aegypti,7392
REP_00288,CC12CCC(C1)C(C)(C)C2=O,LHXDLQBQYFFVNW-UHFFFAOYSA-N,C10H16O,152.1201,0.2033898305084746,0.6380373087130226,Aedes aegypti,14525
REP_00289,CC(C)=CCC/C(C)=C/C=O,WTEVQBCEXWBHNA-JXMROGBWSA-N,C10H16O,152.1201,0.5531914893617021,0.4258852920985623,Aedes aegypti,638011
