compound_id,canonical_smiles,p_repellent,p_insecticidal,repel_lower_90,repel_upper_90,insect_lower_90,insect_upper_90,Category
LIC_00120,c1ccc(OCC2CCCOC2)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00119,O=C(CN1C(=O)CCC1=O)N1CCC(CSc2ccccn2)CC1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00118,CC(C)(Oc1ccc(Cl)cc1)C(=O)N1CC(N2C(=O)CCC2=O)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00116,Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCCC3)cc21,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_00115,Cn1c(=O)[nH]c(=O)c2c1ncn2CC(=O)O,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_00114,O=C1CCC(=O)N1Cc1csc(Nc2ccc(F)c(F)c2)n1,1.0,0.5000000000000001,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02859,O=C(/C=C/c1ccccn1)c1cc(Cl)cc(Cl)c1O,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02858,Cc1nn(C(=O)CCC(=O)n2nc(C)c(Cl)c2C)c(C)c1Cl,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02857,O=C1CC(Nc2ccc(F)cc2)C(=O)N1c1ccc(O)cc1,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02856,Cc1nc(-n2cccc2)sc1C(=O)N1CC(=O)N(CCc2ccccc2)C(=O)C1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02855,COC(=O)/C(O)=C1/C(=O)C2(C)CCC1C2(C)CBr,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02854,CCOc1ccc(NC2CC(=O)N(c3ccccc3C)C2=O)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02853,CN(C)CCCN(C(=O)c1cccc(N2C(=O)CCC2=O)c1)c1nc2c(F)cccc2s1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02852,CS(=O)(=O)N1CCCc2ccc(NS(=O)(=O)CCN3C(=O)CCCC3=O)cc21,1.0,0.8727272727272727,0.4339622641509434,1.0,0.22756598240469206,1.0,Toxic Repellent
LIC_02851,O=C(Nc1nnc(-c2ccccc2Cl)o1)c1cccc(N2C(=O)CCC2=O)c1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02850,CCSc1ccc(Cc2nnc(NC(=O)c3ccc(N4C(=O)CCC4=O)cc3)o2)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02849,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc(N2C(=O)CCC2=O)cc1,1.0,0.72,0.4339622641509434,1.0,0.07483870967741935,1.0,Toxic Repellent
LIC_02848,C=CCN1C(=O)CC(Sc2ccccc2C(=O)O)C1=O,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02847,Cc1cc(C)c(S(=O)(=O)NCCn2nc(C)c(Cl)c2C)c(C)c1,1.0,0.8727272727272727,0.4339622641509434,1.0,0.22756598240469206,1.0,Toxic Repellent
LIC_02846,O=C(Nc1nc2c(F)cc(F)cc2s1)c1ccc(N2C(=O)CCC2=O)cc1,1.0,0.6825396825396826,0.4339622641509434,1.0,0.03737839221710193,1.0,Toxic Repellent
LIC_02845,O=C(O)CSC1CC(=O)N(c2ccccc2)C1=O,1.0,0.41304347826086957,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
LIC_02844,C=CCN1C(=O)CC(Sc2ncccc2C(=O)O)C1=O,1.0,0.43902439024390244,0.4339622641509434,1.0,0.0,1.0,Toxic Repellent
