Compound_ID,SMILES,InChIKey,Insecticidal_Active,ChEMBL_ID,N_Assay_Records,Best_pChEMBL,Median_pChEMBL,Target_Organisms,Source
EXT_00820,Cc1cn([C@H]2C[C@H](n3cc(-c4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,YIIUPUWFCBAYMU-ARFHVFGLSA-N,1,CHEMBL1090132,1,5.66,5.66,Drosophila melanogaster,ChEMBL
EXT_00821,CN1CCN(CCCNC(=O)COc2ccc(-c3ccccc3)cc2)CC1,YJAARTMYXMWRRB-UHFFFAOYSA-N,0,CHEMBL4288000,3,4.92,4.89,"Aedes aegypti,Anopheles gambiae",ChEMBL
EXT_00822,CN(C)CCCN1C(=O)CSC1c1ccc(F)cc1,YJKWFOWTUKOVGQ-UHFFFAOYSA-N,1,CHEMBL1202939,2,6.14,6.115,Anopheles gambiae,ChEMBL
EXT_00823,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C,YJXDGWUNRYLINJ-BHAPSIHVSA-N,1,CHEMBL465226,2,,,Spodoptera frugiperda,ChEMBL
EXT_00824,CN/C(=N/CC1CCOC1)N[N+](=O)[O-],YKBZOVFACRVRJN-UHFFFAOYSA-N,1,CHEMBL2228155,1,5.3,5.3,Drosophila melanogaster,ChEMBL
EXT_00825,CCC(CC)Cc1ccc(OCCN(C)C(=O)OC(C)C)cc1,YKKKEUIXOGAMSZ-UHFFFAOYSA-N,1,CHEMBL2272165,1,7.86,7.86,Culex pipiens,ChEMBL
EXT_00826,CCCO/N=C/COc1ccc(Cc2ccccc2)cc1,YNUNGJGJSCJWCT-XDHOZWIPSA-N,1,CHEMBL2271776,1,7.97,7.97,Culex pipiens,ChEMBL
EXT_00827,Cc1cccc(C(=O)NC(C)C)c1NC(=O)c1cc(C(F)(F)F)nn1-c1ccccc1Cl,YOKQIZKUAKALCR-UHFFFAOYSA-N,1,CHEMBL381903,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00828,CC(C)/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,YPDQKWNPGRNLNW-FOWTUZBSSA-N,0,CHEMBL2287454,1,,,Musca domestica,ChEMBL
EXT_00829,CCN1CCN(CCCNC(=O)COc2ccc(I)cc2)CC1,YQFJJOPBPPYZEU-UHFFFAOYSA-N,0,CHEMBL4280753,3,4.37,4.14,"Aedes aegypti,Anopheles gambiae",ChEMBL
EXT_00830,CCC(CC)Cc1ccc(OCCCNOC(C)C)cc1,YQIXJNDJDBFLQK-UHFFFAOYSA-N,1,CHEMBL2272191,1,8.97,8.97,Culex pipiens,ChEMBL
EXT_00831,CCOP(=O)(OCC)SCCCCCCCN1C(=O)c2ccccc2C1=O,YRRSROCUIGCSJO-UHFFFAOYSA-N,1,CHEMBL2252851,2,5.74,5.71,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00832,Cc1cn([C@H]2C[C@H](n3cc(Cc4ccccc4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,YSZNONLNIIELSQ-GVDBMIGSSA-N,1,CHEMBL1090133,1,5.41,5.41,Drosophila melanogaster,ChEMBL
EXT_00833,CC(C)COCCCOc1ccc(Oc2ccccc2)cc1,YTPCHPWJAWCIKQ-UHFFFAOYSA-N,1,CHEMBL2272150,1,9.73,9.73,Culex pipiens,ChEMBL
EXT_00834,COC(=O)CCc1cc(-c2ccccc2)no1,YTXREVZAOHNBNN-UHFFFAOYSA-N,1,CHEMBL2442686,1,,,Aedes aegypti,ChEMBL
EXT_00835,C=C1C(CC)=C(C#N)C(=O)N1c1cc(Cl)ccc1C(C)(C)C,YUHNZTXVYZZCPS-UHFFFAOYSA-N,0,CHEMBL1253195,1,4.96,4.96,Lucilia cuprina,ChEMBL
EXT_00836,CC(C)(C)N(NC(=O)c1cccc(Cl)c1)C(=O)c1ccccc1Cl,YVAIPWQNMHDDIV-UHFFFAOYSA-N,1,CHEMBL2286425,3,5.92,5.77,"Drosophila melanogaster,Spodoptera littoralis",ChEMBL
EXT_00837,C=C1C(CCCC)=C(C#N)C(=O)N1c1c(C)cccc1Cl,YWFYQDLYWZUMHH-UHFFFAOYSA-N,0,CHEMBL1254949,1,4.25,4.25,Lucilia cuprina,ChEMBL
EXT_00838,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,YWTYJOPNNQFBPC-UHFFFAOYSA-N,1,CHEMBL406819,12,8.68,8.34,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00839,O=C1CCC2(Oc3cccc4cccc(c34)O2)c2c(Cl)ccc(O)c21,YWUWMXDEUDNGHC-UHFFFAOYSA-N,0,CHEMBL3342637,1,,,Aedes albopictus,ChEMBL
EXT_00840,CC1=C2C[C@H](C(C)(C)O)CC[C@H](C)[C@@H]2CC1=O,YXZJYDYPBCUCJX-WCQGTBRESA-N,0,CHEMBL463501,1,,,Spodoptera littoralis,ChEMBL
EXT_00841,CCC(CC)n1cc(C(=O)C(F)(F)F)cn1,YYGHBQVPXHKCRO-UHFFFAOYSA-N,1,CHEMBL3623551,2,9.17,8.865,Anopheles gambiae,ChEMBL
EXT_00842,Cc1cc(C(F)(F)F)cc(C(=O)NC(C)C)c1NC(=O)c1cc(C(F)(F)F)nn1-c1ncccc1Cl,YZEILLAXYWDWPG-UHFFFAOYSA-N,1,CHEMBL399903,2,,,"Plutella xylostella,Spodoptera frugiperda",ChEMBL
EXT_00843,c1cncc(CN2CCCCC2)c1,ZAHGBBWQTOLMRX-UHFFFAOYSA-N,0,CHEMBL2287057,2,4.17,4.17,Musca domestica,ChEMBL
EXT_00844,CC=C(Cl)Cl,ZAIDIVBQUMFXEC-UHFFFAOYSA-N,1,CHEMBL1595845,1,,,Musca domestica,ChEMBL
EXT_00845,CCO/N=C/COc1ccc(Oc2c(C)ccc(C)c2C)cc1,ZBQWVEUKXDFNIY-UDWIEESQSA-N,1,CHEMBL2271769,1,5.68,5.68,Culex pipiens,ChEMBL
EXT_00846,CCOP(=O)(OCC)SCCCCN1C(=O)c2ccccc2C1=O,ZCPLATPMENEVQQ-UHFFFAOYSA-N,0,CHEMBL2252848,2,5.0,4.795,"Drosophila melanogaster,Musca domestica",ChEMBL
EXT_00847,CC(C)CS(=O)(=O)c1cccc(OS(C)(=O)=O)c1,ZDTAUHDUCQQJIG-UHFFFAOYSA-N,1,CHEMBL2286259,1,6.43,6.43,Musca domestica,ChEMBL
EXT_00848,CCCOCC(C)COc1ccc(Oc2ccccc2)cc1,ZEFWSVGJXLIDFU-UHFFFAOYSA-N,1,CHEMBL2272153,1,8.3,8.3,Culex pipiens,ChEMBL
EXT_00849,CCO/N=C/COc1ccc(Oc2cccc(C)c2C)cc1,ZEJBFNGTHUVPDA-XDHOZWIPSA-N,1,CHEMBL2271766,1,7.9,7.9,Culex pipiens,ChEMBL
EXT_00850,CCCc1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,ZESHJUIZOWZVPB-UHFFFAOYSA-N,1,CHEMBL2286427,3,7.64,7.13,"Drosophila melanogaster,Spodoptera frugiperda,Spodoptera littoralis",ChEMBL
EXT_00851,CCCCNCCOc1ccc(Oc2ccccc2)cc1,ZESOBAMYQKHMED-UHFFFAOYSA-N,1,CHEMBL2271818,1,6.88,6.88,Culex pipiens,ChEMBL
EXT_00852,Cc1cn([C@H]2C[C@H](n3nncc3-c3ccccc3)[C@@H](CO)O2)c(=O)[nH]c1=O,ZGLKLXLPRAAAMO-NUEKZKHPSA-N,0,CHEMBL1090869,1,4.77,4.77,Drosophila melanogaster,ChEMBL
EXT_00853,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,ZGNITFSDLCMLGI-UHFFFAOYSA-N,1,CHEMBL563789,1,,,Plutella xylostella,ChEMBL
EXT_00854,Cc1ccc(C)c(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)c1,ZGQJECISIKVETQ-UHFFFAOYSA-N,0,CHEMBL2286725,1,,,Drosophila melanogaster,ChEMBL
EXT_00855,CC(=O)c1ccc(C(=O)NN(C(=O)c2ccccc2Cl)C(C)(C)C)cc1,ZGTOBXPHEGBCOS-UHFFFAOYSA-N,1,CHEMBL2286463,1,6.37,6.37,Spodoptera frugiperda,ChEMBL
EXT_00856,CCO/N=C/CCOc1ccc(CC(C)C)cc1,ZGVKFTJPNGNDNQ-MHWRWJLKSA-N,1,CHEMBL2272179,1,8.29,8.29,Culex pipiens,ChEMBL
EXT_00857,CCNCCCOc1ccc(Oc2ccccc2)cc1,ZGYPZKIKCFSIME-UHFFFAOYSA-N,1,CHEMBL2271817,1,8.34,8.34,Culex pipiens,ChEMBL
