compound_id,atom_index,element,x_A,y_A,z_A,d_av_i_A,ECN_i
REP_00004,16,H,5.019919661588251,0.7695052843113978,1.362088447919865,1.0954247447475178,1.0000001055145753
REP_00004,17,H,3.3526707107712723,0.6426007771553143,2.0093680048526372,1.0967219953342215,1.0000001424373939
REP_00004,18,H,4.050054466248294,-0.7142903271703911,1.0712569790373265,1.098108926695332,1.0000001494347142
REP_00004,19,H,3.324153157453107,2.089880199788014,-0.014301298018095893,1.1092768954070404,1.0000000459970848
REP_00004,20,H,4.143926551970138,0.7827036548785489,-0.9784986169019935,1.0986133374751512,1.0000000146762797
REP_00004,21,H,-1.3613059748681806,-3.322407340714764,-2.424603487827449,1.0986316732997403,1.000000014687061
REP_00004,22,H,0.20746090627645197,-3.607292791083543,-1.5480781080054955,1.1092445904022858,1.0000000457874658
REP_00004,23,H,-1.7303957143629536,-4.939467062937333,-0.5553172943805853,1.095423559611205,1.0000001052951921
REP_00004,24,H,-1.0104166355008048,-3.7867584791790088,0.6142160432341555,1.0967114282900015,1.000000142665398
REP_00004,25,H,-2.5620532321558267,-3.390315372104804,-0.18728975737544235,1.098136189986188,1.0000001503407954
REP_00004,26,H,-2.341420009882814,3.482055427072313,-1.0561713729450373,1.0986492388399167,1.0000000146514816
REP_00004,27,H,-3.3132865316480475,1.990950343068354,-0.678276147360623,1.1092419926768426,1.0000000455868074
REP_00004,28,H,-2.776481282987906,2.2287862777083043,1.7390767199042114,1.0967134692783347,1.000000142622619
REP_00004,29,H,-1.7084697221462313,3.625797527584564,1.4002853447074675,1.0981731151201264,1.000000150922604
REP_00004,30,H,-3.481429901746794,3.768000097296264,1.1483617870254963,1.0954161330036543,1.000000104961284
REP_00005,0,C,-1.922375142486089,0.15189842732570888,-2.011861291472326,1.0959196993845435,3.006718701498991
REP_00005,1,C,-1.6109745376638633,1.4864450131220373,-1.3472792794444026,1.5247718963355155,4.021437776884792
REP_00005,2,C,-0.6172101513137432,2.343989954825112,-2.114962773035154,1.0954315647389692,3.0069130667923942
REP_00005,3,C,-2.754690046386197,2.1400554767274396,-0.5712817250465184,1.0951840404974356,1.0361383826459163
REP_00005,4,C,-2.9452479647006364,3.595467443857004,-0.5714165093127861,1.1197774535754048,1.3487677582784587
REP_00005,5,C,-4.145984362978644,4.170843446140019,-0.6738564516656865,1.3448435604298714,1.0644988390493495
REP_00005,6,Cl,-4.346911288565919,5.945245546817742,-0.6628034372220979,1.7857824358096221,1.0000275053596732
REP_00005,7,Cl,-5.681240561479673,3.2702961159576867,-0.8385677158001775,1.7875263824702614,1.0001548612774889
REP_00005,8,C,-1.5429031670427278,1.5827976611256365,0.17086851902761827,1.0882399439289405,1.0185510875774755
REP_00005,9,C,-1.786390288416944,0.3532282299089048,0.9970499171577942,1.3357179919228126,2.321412219287884
REP_00005,10,O,-2.678244518087885,-0.5140873942909913,0.8724769692578452,1.2502634835553008,1.0000000000003495
REP_00005,11,O,-0.7596426225045806,0.3723010797753326,2.004118429667178,1.4518705471855686,1.9938125379045675
REP_00005,12,C,-0.8841823291999257,-0.8302403702650095,2.8352123322131253,1.1112531698455634,1.072274649286283
REP_00005,13,C,-0.5799955662525711,-0.3563295191919273,4.220482018685496,1.2010472301612531,1.1545591188801605
REP_00005,14,N,-0.31914092340289885,-0.013414583276310612,5.322596928416217,1.1833397957564833,1.0
REP_00005,15,C,0.15579161543514927,-1.8746116058081739,2.464474618122398,1.4180208827938858,2.8289624305114405
