compound_id,mol_name,canonical_smiles,inchikey,mol_formula,mol_weight,num_heavy_atoms,source_dataset,repellent_active,target_species,assay_type,scaffold_smiles,qc_status,sdf_Acceptor,sdf_Activity,sdf_CAS,sdf_Chemical_Name,sdf_Collection,sdf_Database,sdf_Description,sdf_Donor,sdf_FSP3,sdf_HAC,sdf_IDNUMBER,sdf_MW,sdf_Molecular Formula,sdf_Molecular Target,sdf_Molecule Name,sdf_Molecule Name 2,sdf_PriceCoeff,sdf_PubChem CID,sdf_Reference DOI,sdf_Reference_compound,sdf_RotBonds,sdf_Similarity,sdf_Smiles,sdf_TPSA,sdf_clogP
LIC_02294,F3023-0021,CCCc1cc(C(=O)OC)c(N2C(=O)CC(Sc3ccccc3C(=O)O)C2=O)s1,HDOOPWYBCNJGON-UHFFFAOYSA-N,C20H19NO6S2,433.0654,29,insecticide,,nan,nan,CC1CC(CC2CCCCC2)C(C)C1C1CCCC1,pass,6.0,,924861-11-0,"2-({1-[3-(methoxycarbonyl)-5-propylthiophen-2-yl]-2,5-dioxopyrrolidin-3-yl}sulfanyl)benzoic acid",General,,solid,0.0,0.3,29.0,F3023-0021,433.5,,,,,1.0,,,,8.0,,,154.52,3.85
LIC_02295,F2049-0420,O=C(Nc1ccc2c(c1)N(C(=O)c1ccccc1)CCC2)c1ccc(Cl)cc1,QNDSJVFMIVTVML-UHFFFAOYSA-N,C23H19ClN2O2,390.1135,28,insecticide,,nan,nan,CC(CC1CCC2CCCC(C(C)C3CCCCC3)C2C1)C1CCCCC1,pass,2.0,,946320-72-5,"N-(1-benzoyl-1,2,3,4-tetrahydroquinolin-7-yl)-4-chlorobenzamide",General,,solid,1.0,0.13,28.0,F2049-0420,390.86,,,,,1.0,,,CHEMBL2286415,4.0,0.856,,49.41,4.46
LIC_02296,F2040-0353,O=C(Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1)c1ccc(Cl)cc1,PQFAMYOMQPAOQE-UHFFFAOYSA-N,C23H19ClN2O2,390.1135,28,insecticide,,nan,nan,CC(CC1CCC2C(CCCC2C(C)C2CCCCC2)C1)C1CCCCC1,pass,2.0,,946318-26-9,"N-(1-benzoyl-1,2,3,4-tetrahydroquinolin-6-yl)-4-chlorobenzamide",General,,solid,1.0,0.13,28.0,F2040-0353,390.86,,,,,1.0,,,CHEMBL2286415,4.0,0.847,,49.41,4.46
LIC_02297,F0808-0278,CC(C)c1ccc(S(=O)(=O)Nc2ccc(O)c(Cl)c2)cc1,OCMZYBIJNBPHSL-UHFFFAOYSA-N,C15H16ClNO3S,325.0539,21,insecticide,,nan,nan,CC(C)(CC1CCCCC1)C1CCCCC1,pass,4.0,,301314-34-1,N-(3-chloro-4-hydroxyphenyl)-4-(propan-2-yl)benzene-1-sulfonamide,General,,solid,2.0,0.2,21.0,F0808-0278,325.81,,,,,1.0,,,,4.0,,,74.78,4.08
LIC_02298,F1814-1627,Cn1/c(=N/C(=O)c2ccc(N3C(=O)CCC3=O)cc2)sc2cccc(F)c21,NYCWAWQEMRMOFV-VZCXRCSSSA-N,C19H14FN3O3S,383.074,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCC(C2C(C)CCC2C)CC1,pass,3.0,,868375-07-9,"4-(2,5-dioxopyrrolidin-1-yl)-N-[(2Z)-4-fluoro-3-methyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]benzamide",General,,solid,0.0,0.16,27.0,F1814-1627,383.4,,,,,1.0,,,,3.0,,,95.35,3.09
LIC_02299,F2750-0113,CC(C(=O)Nc1ccc(Cl)c([N+](=O)[O-])c1)N1C(=O)c2ccccc2S1(=O)=O,FFRFXRRSTSZCIO-UHFFFAOYSA-N,C16H12ClN3O6S,409.0135,27,insecticide,,nan,nan,CC(CC1CCCCC1)CC1C(C)C2CCCCC2C1(C)C,pass,6.0,,899758-40-8,"N-(4-chloro-3-nitrophenyl)-2-(1,1,3-trioxo-2,3-dihydro-1lambda6,2-benzothiazol-2-yl)propanamide",General,,solid,1.0,0.12,27.0,F2750-0113,409.8,,,,,1.0,,,,4.0,,,135.07,2.87
LIC_02300,F2794-0084,O=C(Nc1ccc(N2CCCCS2(=O)=O)cc1)c1ccc(Cl)c([N+](=O)[O-])c1,LJPBWYZSXVSRBR-UHFFFAOYSA-N,C17H16ClN3O5S,409.0499,27,insecticide,,nan,nan,CC(CC1CCC(C2CCCCC2(C)C)CC1)C1CCCCC1,pass,6.0,,899976-24-0,"4-chloro-N-[4-(1,1-dioxo-1lambda6,2-thiazinan-2-yl)phenyl]-3-nitrobenzamide",General,,solid,1.0,0.24,27.0,F2794-0084,409.84,,,,,1.0,,,,4.0,,,118.0,2.97
LIC_02301,F0328-0304,CN1C(=O)c2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])cc2C1=O,HOOLNVXNVVVMLP-UHFFFAOYSA-N,C16H10ClN3O5,359.0309,25,insecticide,,nan,nan,CC(CC1CCC2C(C)CC(C)C2C1)C1CCCCC1,pass,5.0,,330201-35-9,"5-chloro-N-(2-methyl-1,3-dioxo-2,3-dihydro-1H-isoindol-5-yl)-2-nitrobenzamide",General,,solid,1.0,0.06,25.0,F0328-0304,359.72,,,,,1.0,,,CHEMBL2287471,3.0,0.846,,109.62,2.22
LIC_02302,F1814-1143,Cn1/c(=N/C(=O)CN2C(=O)CCC2=O)sc2cc(Cl)cc(Cl)c21,RJWXSKBIKLNENH-VKAVYKQESA-N,C14H11Cl2N3O3S,370.9898,23,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)CC1C(C)CCC1C,pass,3.0,,868370-69-8,"N-[(2Z)-4,6-dichloro-3-methyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",General,,solid,0.0,0.29,23.0,F1814-1143,372.23,,,,,1.0,,,,3.0,,,95.35,4.2
LIC_02303,F0348-3117,c1ccc(Oc2cccc(Oc3ccccc3)c2)cc1,JTNRGGLCSLZOOQ-UHFFFAOYSA-N,C18H14O2,262.0994,20,insecticide,,nan,nan,C1CCC(CC2CCCC(CC3CCCCC3)C2)CC1,pass,2.0,,3379-38-2,"1,3-diphenoxybenzene",General,,solid,0.0,0.0,20.0,F0348-3117,262.3,,,,,1.0,,,CHEMBL2252486,4.0,0.804,,18.46,6.34
LIC_02304,F9995-2547,O=C(Nc1ccc(Oc2ccnc(C(=O)O)c2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,IPCWVRAYBZXUMM-UHFFFAOYSA-N,C20H13ClF3N3O4,451.0547,31,insecticide,,nan,nan,CC(CC1CCCCC1)CC1CCC(CC2CCCCC2)CC1,pass,5.0,,1012058-78-4,4-[4-({[4-chloro-3-(trifluoromethyl)phenyl]carbamoyl}amino)phenoxy]pyridine-2-carboxylic acid,General,,solid,3.0,0.05,31.0,F9995-2547,451.79,,,,,1.0,,,CHEMBL1336,5.0,0.805,,100.55,6.0
LIC_02305,F0834-1075,Cn1/c(=N\C(=O)c2cccc(N3C(=O)CCC3=O)c2)sc2cc(F)ccc21,SXRHPCRCDPYOGY-XUTLUUPISA-N,C19H14FN3O3S,383.074,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,pass,3.0,,477295-08-2,"3-(2,5-dioxopyrrolidin-1-yl)-N-[(2E)-6-fluoro-3-methyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]benzamide",General,,solid,0.0,0.16,27.0,F0834-1075,383.4,,,,,1.0,,,,3.0,,,95.35,3.09
LIC_02306,F1814-1675,Cn1/c(=N/C(=O)c2cccc(N3C(=O)CCC3=O)c2)sc2cccc(F)c21,HWZQELHXXYNCDJ-VZCXRCSSSA-N,C19H14FN3O3S,383.074,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,pass,3.0,,868375-24-0,"3-(2,5-dioxopyrrolidin-1-yl)-N-[(2Z)-4-fluoro-3-methyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]benzamide",General,,solid,0.0,0.16,27.0,F1814-1675,383.4,,,,,1.0,,,,3.0,,,95.35,3.09
LIC_02307,F0466-0014,Cc1ccc2c(c1)s/c(=N/C(=O)c1cccc(N3C(=O)CCC3=O)c1)n2C,XWJALTRVOUGHCX-QZQOTICOSA-N,C20H17N3O3S,379.0991,27,insecticide,,nan,nan,CC(CC1CC2CCCCC2C1)C1CCCC(C2C(C)CCC2C)C1,pass,3.0,,477295-07-1,"N-[(2E)-3,6-dimethyl-2,3-dihydro-1,3-benzothiazol-2-ylidene]-3-(2,5-dioxopyrrolidin-1-yl)benzamide",General,,solid,0.0,0.2,27.0,F0466-0014,379.43,,,,,1.0,,,,3.0,,,95.35,3.45
