compound_id,canonical_smiles,source_dataset,repellent_active,scaffold_smiles,method,convergence,charge,multiplicity,mmff_energy,homo_ev,lumo_ev,homo_lumo_gap_ev,total_energy_eh,dipole_debye,partial_charge_mean,partial_charge_std,partial_charge_max,partial_charge_min,dft_subset
DEC_00270,OCC[C@H](O)c1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,20.028696405480478,-10.695484524991206,-6.531395164415468,4.164089360575739,-33.496398907042995,1.6678674814916041,2.424087500778025e-16,0.16776260590620826,0.31824964536837214,-0.46156293379556945,False
DEC_00275,CC(C)[C@@H]1CC[C@@H](C)CC1=O,non_repellent,0.0,CC1CCCCC1,GFN2-xTB,converged,0.0,1.0,14.51607916804679,-10.463333995335372,-6.8335124726743475,3.6298215226610244,-34.678586656985296,1.3577801864526893,-6.871897686903986e-16,0.09660133097142228,0.2311856090340913,-0.3713469223401884,False
DEC_00278,CC(=O)c1cc(C)ccc1C,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,42.92012489700364,-10.49026412011481,-7.3447376548502685,3.145526465264542,-31.58337202727832,1.312078906019352,-8.453382921194806e-16,0.10850575656882508,0.23364655478749635,-0.3739999260870914,False
DEC_00282,CC=CC1=CC[C@H](OC)C=C1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,20.77154172728975,-9.767264096441103,-6.823841802455268,2.9434222939858348,-32.54624672748855,0.6742129964000918,-1.2184697695261092e-16,0.08140701981788478,0.1193025688215238,-0.32478385583642533,False
DEC_00283,COCC=Cc1ccccc1,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,20.516917428286238,-10.404254812258609,-6.685183688962466,3.7190711232961426,-31.54285726744121,0.6196038942986399,1.2248656195592759e-16,0.0765910815484818,0.08629615208645222,-0.31897752795195816,False
DEC_00284,C=C(C)C[C@H]1CCCCC1=O,non_repellent,0.0,CC1CCCCC1,GFN2-xTB,converged,0.0,1.0,13.537660038877611,-10.46161832909519,-6.921186260513321,3.540432068581869,-33.623304520797056,1.3678805287785474,-1.4880072482823278e-16,0.09913843431146793,0.2320776154820503,-0.36969486715793054,False
DEC_00285,C=C(C)CC1CCCCC1O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,17.520527771912445,-10.291665918997525,-5.254883962180339,5.036781956817186,-34.65276452469675,0.7249575352826142,-1.81846874723086e-16,0.11187327146433604,0.28260862024621936,-0.45281137223448503,False
DEC_00291,CCOC(=O)C1(C(C)=O)CC1,non_repellent,0.0,C1CC1,GFN2-xTB,converged,0.0,1.0,11.854295119730024,-11.05476648011315,-7.439154943978812,3.615611536134338,-35.42195551798469,0.7999633639041144,-2.1359725582462252e-16,0.16549254733892757,0.3553200896124892,-0.4071235750453605,False
DEC_00292,COc1cc(C=O)ccc1O,non_repellent,0.0,C1CCCCC1,GFN2-xTB,converged,0.0,1.0,27.930153371254395,-10.669813722115915,-7.85064561141036,2.8191681107055553,-33.37912197917417,0.9663641029564404,3.6520494231090673e-16,0.17033581265031017,0.32357052891215016,-0.3779841470390071,True
DEC_00293,N#CCCOCc1ccco1,non_repellent,0.0,C1CCCC1,GFN2-xTB,converged,0.0,1.0,13.795078684540368,-10.739015100311473,-6.222406152062543,4.51660894824893,-32.708776845628016,1.3427372856913198,-8.77423134149069e-16,0.11680748144648262,0.1094943592782884,-0.3245069958180789,False
